position,entityId,entityName,droneId,droneName,eventType,description,riskType,distance,timestamp,visible,onlyRadar
{"lat":"45.61082767009725","lng":"8.716431706184851"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",974.75,1549642004000,true,true
{"lat":"45.6108344620588","lng":"8.71653409778065"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2001.43,1549642006000,false,true
{"lat":"45.6108344620588","lng":"8.71653409778065"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1420.68,1549642006000,false,true
{"lat":"45.6108344620588","lng":"8.71653409778065"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",973.49,1549642006000,false,true
{"lat":"45.610837858039574","lng":"8.716585293578548"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1999.99,1549642007000,true,true
{"lat":"45.610837858039574","lng":"8.716585293578548"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1417.95,1549642007000,true,true
{"lat":"45.610837858039574","lng":"8.716585293578548"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",972.89,1549642007000,true,true
{"lat":"45.61084125402035","lng":"8.716636489376448"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1998.56,1549642008000,false,true
{"lat":"45.61084125402035","lng":"8.716636489376448"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1415.21,1549642008000,false,true
{"lat":"45.61084125402035","lng":"8.716636489376448"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",972.3,1549642008000,false,true
